author.last_played,author.num_games_owned,author.num_reviews,author.playtime_at_review,author.playtime_forever,author.playtime_last_two_weeks,author.steamid,comment_count,developer_response,language,primarily_steam_deck,received_for_free,recommendationid,review,steam_purchase,timestamp_created,timestamp_dev_responded,timestamp_updated,voted_up,votes_funny,votes_up,weighted_vote_score,written_during_early_access
1754908382,62,202,425,1632,1632,76561198969709215,0,,japanese,False,False,201816030,釣りゲーム。釣りは主人公のネコが自動でするのでプレイヤーは時々魚をコインに換金したりエサを買ったりする。装備のアップグレードもできるのでコインを集める楽しみがある。釣った魚は換金以外にも水槽に入れることもできる。水槽に入れた魚はレアリティ等に応じて時間で少しずつコインをくれるのでいい魚が釣れたら入れ替えて収入を増やす。綺麗なグラフィックに穏やかなBGMで最高の癒しゲームです。,True,1754796940,,1754818425,True,0,39,0.816907882690429688,False
1754829933,193,5,484,2146,2146,76561198070040194,0,,english,False,False,201697097,"Of all the relaxing desktop companion idle games coming out lately, this is my favorite one. The art is beautiful and I love the way it's animated. I really enjoy that this game has two different forms of passive income in the fishing, and the fish tank, making every big catch feel even better. The wallpaper mode is amazing and my preferred way to experience this, and I hope more games in the genre take inspiration from that.

Also I love cat",True,1754651451,,1754652031,True,0,13,0.682657718658447266,False
1754907980,0,1,1491,2331,2331,76561199079778150,1,,schinese,False,False,201836966,游戏元素有点少，五张地图三天就解锁完了，而且希望不要整些篮球鱼棒球鱼这种，多开发些现实里的鱼类，或者已经灭绝的远古鱼类也行，科普会让这游戏变得有意义些。还有就是，鱼上钓频率太高了，让人过分关注，本来一款佛系游戏好像弄得有点焦虑了。整体来说，目前玩得还不错，催更地图ing~~,True,1754826651,,1754826651,True,0,9,0.637334287166595459,False
1754840594,224,26,297,938,938,76561198346514047,0,,schinese,False,False,201766573,"被这款游戏的画风吸引了！清
新休闲的放置类猫咪钓鱼游戏，包含各个不同场景，
会有不同的小动物过来求助，还会有各种各样的图鉴，鱼缸装饰等等...收集控狂喜！

玩的时候，看到不同场景的更替，我突然发现这个温馨可爱小游戏的背后或许隐藏着一个不那么幸福快乐的世界观。
长满青苔无人打理的桥洞，多个井盖标有污染的大型废料...这些让我不由得猜测在这个温馨可爱画风背后到底隐藏了怎样的故事。
我觉得玩到目前为止，收集的元素非常全面，装饰的物品也可以慢慢解锁购买！玩的时候非常期待不同的小动物过来找我求助~

不过感觉图鉴中鱼的介绍可以更加全面，可以根据他们实际上的习性来写一小段有趣的小故事，在摸鱼时还能学一些鱼类小知识是最好不过了~虽然现在还没有玩很长时间，但是个人已经感觉很喜欢了！
希望之后如果有更新的话，可以跟不同的小动物有更多交互，可以慢慢了解不同小动物的故事，或者我们可以互相交换礼物，我也可以给他们买东西，总的来说！一杯奶茶钱还要什么自行车！",True,1754739124,,1754739124,True,0,8,0.622641503810882568,False
1754909132,59,7,335,1014,1017,76561198399412730,0,,schinese,False,False,201832592,游戏还可以，就是能不能提高现实中的鱼的比例，顺便也可以科普一下，什么篮球鱼足球鱼棒球鱼真的很没有意思和创意，还有请问冰晶湾这种基本上没什么太阳的地方出个太阳能版水母是在？....,False,1754821252,,1754821252,True,2,5,0.593881845474243164,False
1754867699,34,2,636,2686,2686,76561199002167215,0,,schinese,False,False,201771301,"之前新品节最惊喜的游戏，demo的时候就玩了很久，没想到能继承也是意外之喜了
正式版加了很多东西，最喜欢的是增加了每小时自动卖鱼的功能优化了挂机体验还有可以让小猫蹭蹭下巴了，太萌了！
游戏内容很多很值！温馨的音乐和美术，每个地图的小动物和故事都很有意思，但是不知道为什么一直有一种淡淡的忧伤的底色T T [spoiler] 贝丝的家人其实是一只小机器鸭子玩具，马可宝贝的物品是一个被拆下来的炸弹倒计时器，道格拉斯口中那个和费舍一样爱钓鱼的朋友… [/spoiler]还有一些我没解锁的故事希望后面能知道一个个钓点的真相或故事，因为看背景好像都是荒废的地方，让人游玩之余有点心酸T T
[spoiler] 因为正式版是朋友送的，悄悄祝朋友家的猫猫珠珠健康快乐永远有鱼吃(>ΘωΘ<) [/spoiler]",False,1754744815,,1754744815,True,2,5,0.583333313465118408,False
1754905633,92,5,1384,2010,2010,76561198845701762,0,,schinese,False,False,201680864,非常好评！！！很治愈的一款小游戏，很喜欢桌宠模式，有小猫陪伴着上班感觉都不枯燥啦！音乐也非常治愈！从测试阶段就开始玩了，正式服还有装饰系统！可以装扮小猫身边和鱼缸装饰，感觉游戏内容更丰富了！！！,False,1754626269,,1754626269,True,0,7,0.57787013053894043,False
1754888944,0,1,469,590,590,76561198322623155,0,,schinese,False,False,201850376,"近日于Steam寻得一款奇趣佳作，名为《猫猫钓游记》 ，玩罢只觉妙哉妙哉，忍不住与诸位分享一番。
起初，小生本以为只是寻常垂钓之作，却不想被其中的主角萌猫迷了心智。甩竿收线间，那模样相当美而萌之，直叫人忍俊不禁，笑得小生囧架架 。
游戏里的场景布置，可谓是独具匠心。每次进入新的地图，都仿若置身于一幅绝美的画卷之中，嚯哈哈哈。
垂钓之时，各种意外惊喜不断。偶尔钓上些稀奇古怪的玩意儿，妙趣横生，让小生玩得欲罢不能。
若诸位也想寻得一方放松身心的乐土，不妨一试这《猫猫钓游记》 。与萌猫相伴悠然垂钓，快哉快哉！
（中译中：都来丸！）",True,1754840068,,1754840068,True,1,4,0.577619314193725586,False
1754907859,0,38,408,3020,3020,76561199764605872,0,,japanese,False,False,201765798,"釣りは勝手にネコがやってくれます。エサの補充や水槽の管理はプレイヤーがしないといけません。基本放置プレイですが、バケツに入れられる魚が少ないので夜寝て朝までほったらかしという長時間には向いておらず。アニメ１本見ながらの放置プレイがちょうどいいです。
装備の拡張もあるので強化すれば少し長い放置も可能になるかと思います。
日本語訳も丁寧にされているので、キャラのセリフに違和感はありません。可愛いキャラ達の放置ゲーおすすめです。
",True,1754738122,,1754738122,True,0,3,0.565217375755310059,False
1754889607,0,2,18,422,422,76561199497993299,0,,japanese,False,False,201753589,"最高に癒しのゲームです！！ありがとう！！

注意で、壁紙モードにすると画面が見切れたり、表示されなくなったりすることがありますが、タスクバーからWindows設定に直すと直りました！！
タスクバーに表示がなければ隠れたインジゲーターの中にあるかもしれません！
ちなみに自分は隠れたインジゲーターの中にありホッとしました。",True,1754720628,,1754720628,True,0,3,0.565217375755310059,False
